Endereço,CEP,Latitude,Longitude
0 Mayer Circle,49150,16.7137921,104.7345937
5 Meadow Valley Pass,,-6.956164,106.7714
5462 Waubesa Lane,617000,57.9331563,55.34672
3847 Basil Avenue,2210,24.7660178,90.2561365
6 Elmside Plaza,,32.318255,109.715304
27423 Mifflin Avenue,4903,14.5326092,120.99848
8001 Erie Pass,11803,10.2704687,-84.9531618
4220 Dunning Park,7500-130,38.0531218,-8.7524636
015 Dawn Pass,,29.2378946,30.7913458
075 Huxley Road,352292,44.3559175,41.5113076
76526 Starling Place,71307,31.319438,-92.4672927
6045 Northview Place,39080,43.4598651,-3.8057968
6 Susan Park,87078,23.7322067,-99.1829833
873 Northfield Court,3363,24.7762658,-107.4046797
75 Oakridge Street,57160-000,-9.710143,-35.897056
49796 Mcbride Hill,,-8.557437,114.0369075
7 Bluestem Road,,31.2303904,121.4737021
93108 Hovde Park,,34.341574,108.93977
6 Old Shore Park,,44.1799774,18.9418196
63494 Becker Park,3505-157,40.7485192,-7.8032048
